,spot,spotName,date,Ta,Rn(mm),Ws(m/s),Wd(16D),Hm(%),Pa(hPa),Ps(hPa),Ss(hr),Gsr(MJ/m2),Snow(cm),DpthFhsc(cm),Tca(10),CloudForm,Ts
46,108,Seoul,2021-01-02 22:00,-5.5,0.0,2.8,320.0,42,1020.6,1031.8,,,,,0.0,,-5.4
47,108,Seoul,2021-01-02 23:00,-6.1,0.0,1.9,270.0,45,1020.8,1032.0,,,,,0.0,,-6.0
48,108,Seoul,2021-01-03 0:00,-6.6,0.0,3.8,290.0,45,1021.5,1032.7,,,,,0.0,,-6.4
49,108,Seoul,2021-01-03 1:00,-7.3,0.0,2.4,270.0,48,1022.0,1033.3,,,,,0.0,,-6.9
50,108,Seoul,2021-01-03 2:00,-7.7,0.0,2.0,270.0,50,1022.6,1033.9,,,,,0.0,,-7.2
51,108,Seoul,2021-01-03 3:00,-8.0,0.0,2.2,250.0,51,1022.8,1034.1,,,,,0.0,,-7.4
52,108,Seoul,2021-01-03 4:00,-8.3,0.0,1.6,270.0,52,1022.9,1034.2,,,,,0.0,,-7.7
53,108,Seoul,2021-01-03 5:00,-8.8,0.0,1.0,270.0,53,1022.6,1033.9,,,,,0.0,,-8.0
54,108,Seoul,2021-01-03 6:00,-9.0,0.0,1.3,270.0,53,1023.4,1034.8,,,,,0.0,,-8.1
55,108,Seoul,2021-01-03 7:00,-8.7,0.0,1.1,290.0,54,1023.6,1035.0,,,,,0.0,,-8.3
56,108,Seoul,2021-01-03 8:00,-8.7,0.0,0.9,230.0,58,1023.7,1035.1,0.0,0.0,,,0.0,,-8.2
57,108,Seoul,2021-01-03 9:00,-7.6,0.0,1.8,250.0,57,1024.1,1035.4,0.8,0.28,,,0.0,,-6.9
58,108,Seoul,2021-01-03 10:00,-5.7,0.0,2.6,290.0,46,1024.0,1035.2,1.0,0.86,,,0.0,,-4.1
59,108,Seoul,2021-01-03 11:00,-4.2,0.0,1.9,270.0,39,1023.6,1034.8,1.0,1.45,,,0.0,,-0.5
60,108,Seoul,2021-01-03 12:00,-3.1,0.0,2.9,270.0,33,1023.2,1034.3,1.0,1.78,,,7.0,Sc,1.6
61,108,Seoul,2021-01-03 13:00,-2.4,0.0,3.1,290.0,30,1022.9,1034.0,0.9,1.62,,,7.0,Sc,1.1
62,108,Seoul,2021-01-03 14:00,-2.3,0.0,3.6,290.0,30,1022.7,1033.8,0.3,1.21,,,8.0,ScCi,1.6
63,108,Seoul,2021-01-03 15:00,-2.4,0.0,3.7,290.0,33,1022.2,1033.3,0.2,0.76,,,8.0,Ci,0.0
64,108,Seoul,2021-01-03 16:00,-2.3,0.0,2.5,270.0,35,1022.1,1033.2,0.0,0.48,,,9.0,Ci,-0.5
65,108,Seoul,2021-01-03 17:00,-2.6,0.0,1.9,270.0,36,1022.2,1033.3,0.3,0.33,,,6.0,Ci,-0.8
66,108,Seoul,2021-01-03 18:00,-3.6,0.0,2.1,270.0,40,1022.2,1033.3,0.0,0.03,,,5.0,Ci,-2.3
67,108,Seoul,2021-01-03 19:00,-4.4,0.0,1.1,200.0,41,1022.4,1033.6,,,,,0.0,,-3.5
68,108,Seoul,2021-01-03 20:00,-4.9,0.0,1.4,290.0,43,1023.0,1034.2,,,,,0.0,,-4.6
69,108,Seoul,2021-01-03 21:00,-5.3,0.0,0.7,270.0,45,1023.3,1034.5,,,,,3.0,Sc,-5.4
70,108,Seoul,2021-01-03 22:00,-5.9,0.0,1.1,290.0,50,1023.1,1034.3,,,,,0.0,,-6.1
71,108,Seoul,2021-01-03 23:00,-5.3,0.0,3.2,340.0,44,1022.8,1034.0,,,,,0.0,,-6.4
72,108,Seoul,2021-01-04 0:00,-6.2,0.0,0.5,290.0,48,1023.1,1034.3,,,,,0.0,,-7.0
73,108,Seoul,2021-01-04 1:00,-6.5,0.0,1.3,340.0,49,1023.2,1034.4,,,,,0.0,,-7.3
74,108,Seoul,2021-01-04 2:00,-7.0,0.0,0.5,250.0,51,1023.3,1034.6,,,,,0.0,,-7.6
75,108,Seoul,2021-01-04 3:00,-7.1,0.0,0.9,290.0,54,1023.2,1034.5,,,,,0.0,,-7.8
76,108,Seoul,2021-01-04 4:00,-7.4,0.0,1.3,20.0,56,1023.0,1034.3,,,,,0.0,,-7.9
77,108,Seoul,2021-01-04 5:00,-8.1,0.0,1.7,50.0,52,1023.0,1034.3,,,,,0.0,,-8.1
78,108,Seoul,2021-01-04 6:00,-8.1,0.0,2.2,70.0,47,1022.3,1033.6,,,,,0.0,,-8.0
79,108,Seoul,2021-01-04 7:00,-8.3,0.0,2.4,50.0,51,1022.2,1033.5,,,,,0.0,,-8.0
80,108,Seoul,2021-01-04 8:00,-8.1,0.0,2.3,50.0,48,1022.5,1033.8,0.0,0.0,,,0.0,,-7.8
81,108,Seoul,2021-01-04 9:00,-7.6,0.0,2.5,50.0,48,1022.6,1033.9,0.3,0.2,,,4.0,Sc,-6.1
82,108,Seoul,2021-01-04 10:00,-5.6,0.0,1.3,50.0,43,1022.9,1034.1,0.8,0.56,,,0.0,,-3.3
83,108,Seoul,2021-01-04 11:00,-3.0,0.0,2.4,50.0,40,1022.4,1033.5,1.0,1.17,,,2.0,Sc,-0.2
84,108,Seoul,2021-01-04 12:00,-1.5,0.0,2.4,50.0,40,1021.2,1032.2,1.0,1.59,,,0.0,,2.1
85,108,Seoul,2021-01-04 13:00,-0.6,0.0,1.9,90.0,41,1020.0,1031.0,1.0,1.67,,,0.0,,3.5
86,108,Seoul,2021-01-04 14:00,-0.4,0.0,1.6,50.0,40,1019.2,1030.1,0.4,1.05,,,6.0,Sc,2.5
87,108,Seoul,2021-01-04 15:00,0.0,0.0,1.6,360.0,40,1019.2,1030.1,0.0,0.58,,,9.0,Sc,1.4
88,108,Seoul,2021-01-04 16:00,0.2,0.0,1.3,200.0,42,1018.9,1029.8,0.1,0.39,,,9.0,Sc,0.5
89,108,Seoul,2021-01-04 17:00,-0.3,0.0,1.2,270.0,51,1018.5,1029.4,0.0,0.2,,,8.0,Sc,-0.2
90,108,Seoul,2021-01-04 18:00,-0.9,0.0,1.0,50.0,52,1018.1,1029.1,0.0,0.03,,,7.0,Sc,-0.7
91,108,Seoul,2021-01-04 19:00,-0.9,0.0,1.8,70.0,49,1017.8,1028.8,,,,,10.0,,-0.8
92,108,Seoul,2021-01-04 20:00,-0.7,0.0,0.7,200.0,51,1017.8,1028.7,,,,,10.0,,-0.9
93,108,Seoul,2021-01-04 21:00,-0.5,0.0,2.3,90.0,57,1017.4,1028.3,,,,,9.0,Sc,-0.9
94,108,Seoul,2021-01-04 22:00,-0.6,0.0,2.6,320.0,54,1017.8,1028.7,,,,,9.0,Sc,-1.0
95,108,Seoul,2021-01-04 23:00,-1.3,0.0,1.0,50.0,69,1018.0,1029.0,,,0.0,,9.0,Sc,-1.2
96,108,Seoul,2021-01-05 0:00,-2.1,0.0,2.4,50.0,73,1018.1,1029.1,,,0.0,0.0,9.0,,-1.5
97,108,Seoul,2021-01-05 1:00,-2.5,0.0,0.5,110.0,75,1018.3,1029.3,,,0.0,,9.0,Sc,-1.6
98,108,Seoul,2021-01-05 2:00,-2.5,0.0,1.4,340.0,77,1018.3,1029.3,,,0.0,,9.0,Sc,-1.7
99,108,Seoul,2021-01-05 3:00,-2.5,0.0,1.0,250.0,76,1017.9,1028.9,,,0.0,0.0,9.0,Sc,-2.1
100,108,Seoul,2021-01-05 4:00,-2.7,0.0,2.2,290.0,78,1018.0,1029.0,,,0.0,,9.0,Sc,-2.5
101,108,Seoul,2021-01-05 5:00,-3.9,0.0,2.7,320.0,82,1018.2,1029.3,,,0.0,,4.0,Sc,-3.7
102,108,Seoul,2021-01-05 6:00,-4.2,0.0,3.7,320.0,80,1018.6,1029.7,,,0.0,,8.0,Sc,-3.4
103,108,Seoul,2021-01-05 7:00,-4.8,0.0,2.5,290.0,77,1019.7,1030.8,,,0.0,,3.0,Sc,-4.3
104,108,Seoul,2021-01-05 8:00,-5.6,0.0,3.1,270.0,75,1020.8,1032.0,0.0,0.01,0.0,,3.0,Sc,-4.9
105,108,Seoul,2021-01-05 9:00,-5.8,0.0,3.3,320.0,67,1021.4,1032.6,0.8,0.28,0.0,,0.0,,-4.6
106,108,Seoul,2021-01-05 10:00,-5.2,0.0,3.9,290.0,46,1021.6,1032.8,1.0,0.82,0.0,,0.0,,-3.2
107,108,Seoul,2021-01-05 11:00,-4.6,0.0,4.4,290.0,36,1021.7,1032.9,1.0,1.45,0.0,,2.0,Ci,-0.3
108,108,Seoul,2021-01-05 12:00,-4.6,0.0,4.4,290.0,33,1020.8,1031.9,1.0,1.82,,,1.0,Ci,2.5
109,108,Seoul,2021-01-05 13:00,-4.1,0.0,4.8,290.0,34,1019.7,1030.8,1.0,1.98,,,1.0,Ci,3.3
110,108,Seoul,2021-01-05 14:00,-4.2,0.0,4.3,290.0,33,1018.8,1029.9,0.9,1.69,,,2.0,Ci,2.7
111,108,Seoul,2021-01-05 15:00,-3.8,0.0,4.2,250.0,35,1018.7,1029.8,0.7,0.74,,,3.0,Ci,0.7
112,108,Seoul,2021-01-05 16:00,-3.6,0.0,3.3,290.0,33,1018.4,1029.5,1.0,1.15,,,0.0,,-0.7
113,108,Seoul,2021-01-05 17:00,-4.5,0.0,3.6,270.0,31,1018.1,1029.2,1.0,0.48,,,0.0,,-2.4
114,108,Seoul,2021-01-05 18:00,-5.7,0.0,2.8,320.0,34,1018.4,1029.6,0.2,0.04,,,0.0,,-4.1
115,108,Seoul,2021-01-05 19:00,-6.5,0.0,1.9,290.0,39,1019.3,1030.5,,,,,0.0,,-5.1
116,108,Seoul,2021-01-05 20:00,-7.1,0.0,3.6,340.0,41,1019.3,1030.5,,,,,0.0,,-6.0
117,108,Seoul,2021-01-05 21:00,-7.6,0.0,4.9,320.0,43,1019.2,1030.5,,,,,0.0,,-6.7
118,108,Seoul,2021-01-05 22:00,-8.5,0.0,2.5,290.0,51,1018.9,1030.2,,,,,0.0,,-6.8
119,108,Seoul,2021-01-05 23:00,-9.5,0.0,0.9,230.0,53,1018.7,1030.0,,,,,0.0,,-7.3
120,108,Seoul,2021-01-06 0:00,-9.9,0.0,1.8,270.0,54,1018.8,1030.2,,,,,0.0,,-7.7
121,108,Seoul,2021-01-06 1:00,-10.3,0.0,1.8,270.0,57,1018.5,1029.9,,,,,0.0,,-8.2
122,108,Seoul,2021-01-06 2:00,-10.6,0.0,1.9,270.0,57,1018.4,1029.8,,,,,0.0,,-8.4
123,108,Seoul,2021-01-06 3:00,-11.1,0.0,1.7,290.0,61,1018.5,1029.9,,,,,0.0,,-8.8
124,108,Seoul,2021-01-06 4:00,-11.2,0.0,1.3,290.0,64,1017.8,1029.2,,,,,0.0,,-9.1
125,108,Seoul,2021-01-06 5:00,-11.6,0.0,1.3,340.0,64,1017.0,1028.4,,,,,0.0,,-9.4
126,108,Seoul,2021-01-06 6:00,-11.7,0.0,0.8,290.0,62,1017.0,1028.4,,,,,0.0,,-9.5
127,108,Seoul,2021-01-06 7:00,-11.9,0.0,2.2,20.0,61,1016.7,1028.1,,,,,0.0,,-9.6
128,108,Seoul,2021-01-06 8:00,-11.7,0.0,2.4,20.0,64,1016.6,1028.0,0.0,0.0,,,0.0,,-9.4
129,108,Seoul,2021-01-06 9:00,-10.7,0.0,1.4,50.0,62,1017.0,1028.4,1.0,0.32,,,0.0,,-8.6
130,108,Seoul,2021-01-06 10:00,-8.2,0.0,1.6,200.0,53,1017.2,1028.5,1.0,0.84,,,0.0,,-5.3
131,108,Seoul,2021-01-06 11:00,-7.0,0.0,2.4,270.0,46,1016.3,1027.5,1.0,1.5,,,0.0,,-0.4
132,108,Seoul,2021-01-06 12:00,-6.0,0.0,2.3,360.0,37,1014.9,1026.0,1.0,1.89,,,0.0,,3.0
133,108,Seoul,2021-01-06 13:00,-4.6,0.0,3.0,270.0,30,1013.5,1024.6,1.0,2.04,,,0.0,,5.1
134,108,Seoul,2021-01-06 14:00,-3.6,0.0,3.1,270.0,26,1011.6,1022.6,1.0,1.95,,,0.0,,4.6
135,108,Seoul,2021-01-06 15:00,-2.3,0.0,1.9,230.0,26,1011.0,1021.9,1.0,1.64,,,0.0,,3.1
136,108,Seoul,2021-01-06 16:00,-2.2,0.0,2.9,200.0,25,1010.5,1021.4,1.0,1.13,,,0.0,,-0.6
137,108,Seoul,2021-01-06 17:00,-3.2,0.0,2.6,180.0,27,1009.7,1020.7,1.0,0.44,,,0.0,,-2.2
138,108,Seoul,2021-01-06 18:00,-3.7,0.0,2.7,200.0,28,1008.7,1019.7,0.1,0.03,,,10.0,ScAs,-2.4
139,108,Seoul,2021-01-06 19:00,-4.2,0.0,3.4,200.0,60,1008.3,1019.3,,,,,10.0,ScAs,-2.5
140,108,Seoul,2021-01-06 20:00,-5.5,0.0,1.7,160.0,87,1007.0,1018.0,,,2.3,,10.0,StNs,-2.0
141,108,Seoul,2021-01-06 21:00,-5.1,1.0,2.0,230.0,89,1006.7,1017.7,,,3.8,3.8,10.0,ScAs,-1.7
142,108,Seoul,2021-01-06 22:00,-4.7,0.0,3.5,250.0,77,1005.8,1016.8,,,3.7,,9.0,Sc,-1.8
143,108,Seoul,2021-01-06 23:00,-5.6,0.0,3.4,250.0,76,1005.9,1016.9,,,3.7,,9.0,Sc,-1.8
144,108,Seoul,2021-01-07 0:00,-8.3,0.0,6.4,290.0,72,1008.6,1019.8,,,3.5,0.2,9.0,,-1.9
